	young	middle	old
YBL054W	10.095	12.996	9.103
YBL055C	15.219	15.802	16.105
YBL056W	88.184	57.846	63.97
YBL057C	48.087	44.509	30.056
YBL058W	154.85	117.206	128.309
YBL059C-A	48.562	56.875	54.545
YBL059W	11.597	18.236	9.577
YBL061C	19.123	17.661	17.382
YBL063W	8.108	3.889	2.086
YBL064C	116.373	513.677	688.058
YBL066C	6.603	12.701	12.493
YBL067C	16.712	17.829	17.824
YBL068W	57.759	24.646	38.249
YBL069W	38.709	27.844	36.396
YBL071W-A	97.268	156.744	109.304
YBL072C	2341.818	1108.914	1248.682
YBL074C	8.497	7.696	5.73
YBL075C	9.731	356.858	374.554
YBL076C	331.278	105.06	109.458
YBL078C	65.389	1269.98	897.814
YBL079W	23.094	13.4	13.918
YBL080C	7.061	10.682	6.985
YBL081W	24.49	4.287	6.727
YBL082C	29.293	12.099	8.13
YBL084C	9.876	24.636	22.976
YBL085W	20.514	10.012	14.349
YBL086C	15.953	18.58	15.39
YBL087C	1648.28	630.437	619.944
YBL089W	11.093	9.661	9.384
YBL090W	45.123	53.845	51.557
YBL091C	108.571	55.467	56.719
YBL091C-A	19.719	24.223	22.745
YBL092W	6426.603	2441.421	2620.191
YBL093C	46.076	67.593	60.719
YBL095W	14.695	76.35	75.025
YBL097W	8.722	4.965	6.32
YBL098W	23.186	20.986	21.772
YBL099W	609.346	1642.31	1558.311
YBL101C	16.3	41.439	47.287
YBL102W	98.209	66.351	95.578
YBL103C	15.059	31.279	40.305
YBL104C	9.518	8.047	9.936
YBL105C	22.583	21.582	26.715
YBL107C	24.542	20.262	29.005
YBR001C	25.027	48.958	43.964
YBR002C	18.519	12.476	18.308
YBR003W	31.294	19.364	21.524
YBR004C	17.494	10.173	9.966
YBR005W	14.058	36.548	46.15
YBR006W	20.634	233.718	234.054
YBR007C	11.761	6.75	8.287
YBR009C	1327.906	1641.609	1615.685
YBR010W	1549.939	2141.019	2350.215
YBR011C	1726.127	1318.508	1161.993
YBR013C	20.958	25.767	28.52
YBR014C	73.568	86.378	88.906
YBR015C	79.357	46.91	52.093
YBR016W	190.591	251.521	242.99
YBR017C	57.004	31.159	28.317
YBR022W	27.57	27.992	25.283
YBR023C	24.738	25.503	20.826
YBR024W	20.803	37.753	35.663
YBR025C	750.798	347.74	392.389
YBR026C	96.714	193.047	189.912
YBR028C	23.443	9.173	11.916
YBR029C	92.256	43.998	44.519
YBR031W	2217.103	794.629	891.126
YBR034C	74.985	57.331	55.316
YBR035C	172.079	205.241	235.984
YBR036C	96.797	121.833	138.639
YBR037C	30.933	21.946	12.76
YBR038W	39.319	10.317	10.0
YBR039W	337.659	1200.364	986.074
YBR041W	33.862	28.267	36.038
YBR042C	26.774	13.437	12.763
YBR043C	6.074	13.433	8.901
YBR044C	8.071	8.117	6.587
YBR046C	45.664	236.654	262.433
YBR047W	13.984	75.048	118.513
YBR048W	1917.09	838.023	821.041
YBR049C	54.036	46.589	50.906
YBR050C	9.773	69.751	33.553
YBR052C	194.213	60.708	60.264
YBR053C	58.366	89.475	88.486
YBR054W	164.847	3243.185	3107.106
YBR055C	11.915	11.386	11.055
YBR056W	51.404	122.512	113.544
YBR056W-A	26.704	277.933	470.33
YBR057C	23.647	27.319	33.369
YBR058C	32.102	29.444	25.991
YBR058C-A	192.663	169.388	124.567
YBR059C	29.459	40.658	37.193
YBR060C	14.253	7.058	6.99
YBR061C	39.323	18.023	23.174
YBR062C	41.78	76.59	59.075
YBR065C	12.727	14.339	20.577
YBR066C	26.395	38.372	35.591
YBR067C	497.727	152.284	101.476
YBR068C	115.985	167.778	422.228
YBR069C	80.389	24.82	22.296
YBR070C	19.644	10.635	7.317
YBR071W	77.71	115.418	130.04
YBR072W	409.396	32187.983	32187.983
YBR073W	6.95	6.492	7.622
YBR074W	30.591	15.459	15.686
YBR077C	55.509	74.73	56.976
YBR078W	1228.402	668.556	742.88
YBR079C	154.586	65.304	68.424
YBR080C	72.303	57.813	53.542
YBR081C	12.771	7.075	9.028
YBR082C	777.845	482.378	440.739
YBR084C-A	1443.329	1015.869	1082.572
YBR084W	97.856	20.05	18.626
YBR085C-A	526.24	4984.873	5229.222
YBR086C	71.0	46.107	51.953
YBR087W	37.305	15.397	15.889
YBR088C	203.331	61.436	89.858
YBR089C-A	214.014	412.243	420.433
YBR090C	51.566	42.524	46.148
YBR092C	161.437	39.2	27.655
YBR093C	196.676	44.86	47.705
YBR094W	26.583	27.253	25.511
YBR095C	15.137	35.625	31.606
YBR096W	104.115	86.23	67.085
YBR097W	7.774	10.619	7.221
YBR101C	94.913	223.517	270.28
YBR102C	21.242	19.466	13.846
YBR103W	16.518	20.441	10.668
YBR104W	25.42	9.195	10.264
YBR105C	14.952	50.439	28.436
YBR106W	715.157	274.309	237.221
YBR107C	9.99	7.923	7.909
YBR108W	18.662	40.49	41.473
YBR109C	698.272	947.748	1058.943
YBR110W	24.43	48.657	44.626
YBR111C	181.51	160.248	263.594
YBR111W-A	45.046	63.585	89.673
YBR112C	53.057	34.123	40.191
YBR114W	7.697	22.881	16.486
YBR115C	43.883	33.082	37.321
YBR117C	6.075	184.128	194.738
YBR118W	9712.979	5725.884	6795.852
YBR119W	19.751	19.45	19.317
YBR120C	38.62	48.092	44.779
YBR121C	392.926	138.16	140.181
YBR122C	66.943	51.183	61.359
YBR123C	17.485	20.388	18.739
YBR125C	19.366	23.476	16.087
YBR126C	348.703	440.913	535.843
YBR126W-A	588.894	219.885	283.611
YBR127C	750.63	309.817	287.609
YBR129C	20.361	16.925	18.231
YBR130C	41.764	26.787	16.934
YBR131W	6.192	7.835	10.558
YBR132C	24.128	68.885	73.418
YBR133C	13.7	9.696	7.416
YBR135W	80.013	67.815	64.636
YBR136W	3.39	4.13	4.431
YBR137W	74.926	77.513	83.689
YBR138C	13.762	5.529	6.469
YBR139W	94.073	167.112	158.773
YBR140C	11.854	18.798	19.3
YBR141C	9.394	5.498	7.929
YBR142W	25.861	12.807	13.217
YBR143C	356.023	133.472	136.302
YBR145W	13.825	15.152	17.302
YBR146W	58.71	33.062	32.93
YBR149W	243.458	191.545	235.436
YBR150C	7.872	12.338	8.311
YBR151W	49.643	46.678	41.109
YBR154C	182.161	77.047	104.733
YBR155W	36.407	19.634	23.609
YBR156C	8.127	3.79	5.756
YBR158W	20.401	9.229	8.974
YBR159W	122.081	92.521	92.289
YBR160W	54.457	29.501	29.36
YBR161W	21.181	15.721	17.554
YBR162C	345.227	110.944	144.991
YBR162W-A	358.284	148.401	144.206
YBR164C	130.803	43.029	64.814
YBR165W	20.19	48.239	45.372
YBR166C	34.199	17.706	22.956
YBR168W	9.066	9.415	5.918
YBR169C	45.107	339.669	339.692
YBR170C	38.841	50.149	64.82
YBR171W	95.07	41.766	49.413
YBR172C	34.41	37.771	32.454
YBR173C	174.442	255.08	246.357
YBR175W	17.203	7.811	6.346
YBR176W	26.939	28.711	22.525
YBR177C	180.801	159.929	188.491
YBR179C	16.991	34.75	34.081
YBR181C	1711.266	733.439	894.235
YBR183W	17.662	109.125	68.835
YBR185C	33.2	46.875	33.051
YBR187W	117.563	34.014	43.449
YBR189W	2768.837	1062.711	859.734
YBR191W	2285.498	1015.197	962.622
YBR192W	27.919	19.199	18.189
YBR193C	28.644	37.341	36.586
YBR195C	19.42	22.176	26.099
YBR196C	1308.898	1734.818	1779.472
YBR197C	18.78	23.923	12.964
YBR198C	33.312	20.039	28.582
YBR199W	63.933	106.27	97.276
YBR200W	18.456	17.101	18.268
YBR201C-A	12.034	220.453	94.472
YBR201W	15.231	14.488	19.284
YBR202W	38.407	26.395	28.382
YBR203W	6.431	32.613	38.156
YBR204C	22.417	38.787	26.652
YBR205W	87.944	39.54	40.384
YBR207W	42.287	157.259	153.517
YBR208C	5.335	21.219	23.945
YBR210W	28.357	28.458	21.38
YBR211C	12.539	16.472	18.265
YBR212W	40.305	69.709	75.693
YBR213W	38.551	48.909	25.178
YBR214W	41.068	133.947	155.614
YBR215W	15.965	18.338	13.402
YBR216C	15.651	14.856	24.729
YBR218C	102.796	56.089	65.561
YBR220C	19.814	6.372	8.791
YBR221C	448.022	253.067	260.66
YBR222C	74.023	166.344	206.904
YBR223C	5.366	4.381	8.73
YBR225W	11.184	30.823	32.993
YBR227C	15.985	17.42	12.079
YBR228W	6.107	9.512	10.219
YBR229C	36.996	25.27	21.878
YBR230C	215.954	1118.978	1311.72
YBR230W-A	82.684	145.744	93.244
YBR231C	23.0	23.397	28.599
YBR233W	15.541	11.61	17.459
YBR234C	149.863	103.609	94.755
YBR235W	7.732	8.407	10.082
YBR236C	28.156	18.866	22.479
YBR237W	5.932	9.036	11.001
YBR238C	13.057	11.118	7.142
YBR241C	16.928	66.295	89.6
YBR242W	30.249	18.756	18.798
YBR243C	36.252	14.005	12.291
YBR244W	164.448	38.345	36.064
YBR245C	43.111	20.854	20.515
YBR246W	26.659	11.158	10.227
YBR247C	44.841	23.729	28.062
YBR248C	60.248	33.936	51.693
YBR249C	481.511	232.34	347.118
YBR251W	41.304	36.272	57.252
YBR252W	166.648	75.765	76.773
YBR253W	34.122	24.19	50.399
YBR254C	25.332	13.532	20.984
YBR255C-A	24.665	80.687	76.647
YBR255W	4.839	9.739	10.592
YBR256C	64.022	97.491	155.213
YBR257W	16.249	25.008	28.379
YBR258C	17.597	22.734	16.64
YBR260C	23.463	21.503	24.415
YBR261C	80.407	34.496	27.339
YBR262C	46.075	74.104	61.191
YBR263W	203.302	112.362	121.432
YBR264C	25.935	17.572	19.082
YBR265W	62.521	25.287	23.356
YBR267W	33.893	27.069	24.344
YBR268W	74.246	31.007	53.539
YBR269C	111.343	375.507	339.112
YBR272C	18.464	19.142	21.268
YBR273C	32.8	49.017	56.569
YBR274W	9.612	10.03	6.747
YBR275C	7.339	6.294	5.938
YBR276C	4.085	10.011	9.476
YBR278W	28.03	11.794	16.858
YBR279W	52.221	46.047	42.969
YBR280C	11.497	30.358	38.622
YBR281C	20.768	9.849	11.677
YBR282W	60.647	74.417	59.284
YBR283C	202.469	82.758	79.89
YBR286W	552.389	305.901	270.561
YBR287W	54.976	136.769	131.07
YBR288C	35.999	22.148	20.744
YBR289W	16.49	17.921	17.496
YBR290W	30.906	55.14	66.919
YBR291C	15.194	19.455	15.266
YBR294W	6.018	32.271	19.802
YBR297W	4.147	31.208	28.58
YBR302C	34.397	55.954	69.202
YCL001W	121.324	148.739	122.859
YCL005W	14.821	11.482	11.248
YCL005W-A	581.713	306.797	282.458
YCL008C	23.313	13.333	12.729
YCL009C	411.652	231.343	265.176
YCL010C	22.859	14.625	16.731
YCL011C	82.522	34.594	45.605
YCL012C	38.177	157.212	113.318
YCL014W	14.064	9.674	7.489
YCL016C	15.92	13.111	11.102
YCL017C	94.455	142.586	149.227
YCL024W	6.546	4.328	5.095
YCL025C	53.846	252.202	337.62
YCL026C-B	69.325	299.423	375.581
YCL028W	159.87	140.57	149.238
YCL029C	16.519	11.786	15.43
YCL030C	123.113	97.147	223.982
YCL031C	64.79	49.243	54.393
YCL032W	15.816	20.286	28.463
YCL033C	66.1	86.457	92.278
YCL034W	75.185	58.562	49.085
YCL035C	327.603	556.881	579.801
YCL037C	332.273	87.982	75.761
YCL038C	11.517	30.275	26.211
YCL039W	14.701	27.277	34.917
YCL040W	442.488	1080.566	1148.017
YCL042W	91.404	84.699	42.258
YCL043C	796.496	458.111	534.157
YCL044C	32.866	38.605	35.679
YCL045C	100.87	55.243	42.774
YCL047C	22.114	27.355	22.941
YCL049C	12.351	29.637	27.158
YCL050C	362.402	143.068	111.248
YCL051W	12.911	11.056	9.752
YCL052C	23.35	31.982	22.041
YCL054W	41.852	15.986	19.397
YCL055W	21.455	27.254	21.327
YCL056C	14.356	21.879	32.299
YCL057C-A	440.201	603.612	510.367
YCL057W	98.617	53.035	54.822
YCL058W-A	17.141	24.448	27.093
YCL059C	58.789	38.265	33.844
YCL061C	10.9	7.721	5.864
YCL063W	12.204	5.74	7.609
YCL064C	777.112	122.239	90.664
YCL067C	17.584	76.867	48.513
YCR002C	105.192	69.117	72.262
YCR003W	45.991	40.784	35.813
YCR004C	375.011	169.837	159.78
YCR005C	116.548	2978.499	3562.937
YCR007C	3.425	19.601	12.124
YCR008W	22.842	67.252	58.251
YCR009C	129.581	149.615	170.517
YCR011C	43.442	41.978	41.065
YCR012W	8508.579	6384.358	6105.964
YCR016W	39.631	20.135	14.104
YCR017C	36.956	26.632	24.579
YCR020C-A	60.305	66.9	78.57
YCR020W-B	34.772	26.373	18.975
YCR021C	91.775	11284.856	8841.068
YCR023C	10.952	9.038	13.4
YCR024C	7.105	5.947	7.358
YCR024C-A	1163.966	2380.612	1221.948
YCR026C	17.147	20.17	22.884
YCR027C	18.192	17.52	20.077
YCR028C	15.68	23.262	21.306
YCR028C-A	474.544	307.514	285.313
YCR030C	39.02	35.38	36.142
YCR031C	4505.816	1711.918	1484.468
YCR032W	3.393	4.16	5.703
YCR033W	12.878	17.789	19.25
YCR034W	196.132	39.656	46.029
YCR035C	35.02	36.654	41.519
YCR036W	36.763	37.978	41.075
YCR037C	11.802	12.643	16.717
YCR039C	17.584	76.867	48.513
YCR042C	16.301	12.956	12.858
YCR043C	103.235	42.011	38.061
YCR044C	33.09	13.273	13.424
YCR046C	84.05	33.507	34.886
YCR047C	45.05	25.767	22.831
YCR048W	24.282	13.228	10.234
YCR051W	94.574	37.747	47.776
YCR052W	40.31	23.214	21.015
YCR053W	521.38	217.4	223.402
YCR054C	11.3	15.202	17.486
YCR057C	34.403	10.195	8.688
YCR059C	28.282	21.156	16.331
YCR060W	50.546	24.521	38.691
YCR061W	53.249	30.467	47.884
YCR065W	39.153	12.554	11.09
YCR066W	9.744	7.874	6.544
YCR067C	34.732	20.246	21.597
YCR068W	14.565	44.34	58.618
YCR069W	84.332	74.372	93.443
YCR071C	56.223	53.824	45.348
YCR072C	34.251	14.115	8.197
YCR073W-A	71.395	59.577	91.154
YCR075C	19.748	16.881	8.824
YCR075W-A	92.776	56.484	63.721
YCR076C	26.765	33.805	58.264
YCR077C	82.717	71.545	78.083
YCR079W	7.342	11.237	18.646
YCR081W	6.924	7.123	7.131
YCR082W	77.712	103.864	87.889
YCR083W	69.675	288.364	329.549
YCR084C	98.388	43.461	53.67
YCR086W	30.875	27.078	21.517
YCR087C-A	83.573	34.851	26.35
YCR088W	398.882	178.466	156.628
YCR090C	52.829	39.746	37.776
YCR091W	5.145	9.693	12.26
YCR092C	10.662	8.233	6.998
YCR093W	40.319	27.929	26.488
YCR094W	26.356	20.703	17.892
YCR095C	14.661	21.649	12.718
YCR097W	32.415	55.741	76.768
YDL001W	15.939	18.462	16.47
YDL002C	36.962	17.51	19.303
YDL003W	38.479	10.337	9.833
YDL004W	311.964	789.901	634.915
YDL005C	25.046	53.069	47.49
YDL006W	23.034	21.122	21.83
YDL007W	171.759	150.463	143.689
YDL008W	30.367	29.095	33.111
YDL009C	10.261	65.991	73.2
YDL010W	43.548	78.621	95.46
YDL012C	118.514	126.98	111.573
YDL013W	9.703	12.376	16.606
YDL014W	612.182	160.623	141.836
YDL015C	219.862	121.74	149.766
YDL017W	12.436	16.708	14.446
YDL018C	33.047	22.652	28.981
YDL019C	28.346	19.899	26.657
YDL020C	35.128	204.946	182.701
YDL021W	18.419	57.607	58.98
YDL022W	488.736	552.627	571.569
YDL025C	16.72	34.362	36.637
YDL027C	12.115	43.865	56.154
YDL028C	12.625	10.985	11.644
YDL029W	151.912	116.034	98.787
YDL030W	9.776	16.113	12.344
YDL031W	32.658	24.135	21.248
YDL033C	5.529	5.803	6.254
YDL035C	11.589	21.413	20.502
YDL036C	8.987	14.149	8.805
YDL040C	80.57	31.395	23.775
YDL042C	16.894	17.327	12.875
YDL043C	30.833	16.332	15.437
YDL044C	11.276	21.131	14.875
YDL045C	22.601	31.248	38.023
YDL045W-A	119.722	102.714	121.742
YDL046W	229.995	290.893	257.236
YDL047W	65.751	55.359	68.467
YDL048C	14.614	286.374	246.44
YDL049C	8.569	19.879	13.728
YDL051W	150.344	68.511	49.991
YDL052C	92.367	34.364	27.95
YDL053C	95.852	129.428	98.025
YDL054C	16.332	60.757	64.188
YDL055C	1498.786	503.983	437.373
YDL056W	14.753	12.226	15.321
YDL057W	9.492	32.186	22.933
YDL058W	23.137	9.934	10.377
YDL059C	41.558	17.775	15.473
YDL060W	32.915	16.53	16.566
YDL061C	1670.147	1767.251	1562.833
YDL063C	23.602	13.075	12.093
YDL064W	120.909	45.819	55.511
YDL065C	42.535	95.395	64.621
YDL066W	344.573	210.294	285.757
YDL067C	540.97	2506.255	2106.011
YDL070W	53.489	84.247	84.237
YDL072C	181.298	172.299	199.951
YDL073W	5.627	6.047	5.82
YDL074C	29.199	24.114	30.377
YDL075W	3064.984	1582.146	1621.315
YDL076C	27.77	18.265	20.77
YDL077C	10.936	6.724	7.474
YDL078C	136.411	180.177	164.897
YDL080C	5.588	11.167	10.199
YDL081C	3766.494	1906.377	2104.122
YDL082W	1291.192	432.224	448.95
YDL083C	1742.566	646.402	854.793
YDL084W	668.168	207.721	162.832
YDL085C-A	111.376	74.24	53.698
YDL086W	106.951	99.916	88.454
YDL087C	15.965	19.542	17.387
YDL088C	26.262	30.955	29.895
YDL089W	13.062	17.486	14.663
YDL090C	12.237	8.108	4.37
YDL091C	9.97	24.713	30.486
YDL092W	83.793	64.324	63.142
YDL093W	20.267	14.848	10.545
YDL095W	142.255	76.592	72.693
YDL097C	197.41	149.954	137.457
YDL098C	21.571	14.449	23.299
YDL099W	45.464	52.259	41.515
YDL100C	249.072	114.378	101.89
YDL101C	22.706	8.945	6.181
YDL102W	23.727	15.427	17.532
YDL103C	84.245	49.521	46.264
YDL104C	5.586	9.17	11.353
YDL106C	19.05	44.107	33.612
YDL108W	15.514	18.261	20.019
YDL110C	108.996	444.648	536.995
YDL111C	46.974	33.152	23.387
YDL112W	24.394	13.75	8.631
YDL113C	10.703	34.96	32.206
YDL115C	20.619	28.429	31.091
YDL116W	32.225	24.691	21.068
YDL117W	18.033	8.569	8.178
YDL119C	8.986	6.496	8.376
YDL120W	56.474	68.667	30.358
YDL121C	79.99	69.64	51.274
YDL122W	30.846	31.624	32.67
YDL123W	35.867	76.645	91.645
YDL124W	440.026	1067.477	644.759
YDL125C	444.004	195.123	188.255
YDL126C	579.456	358.942	326.235
YDL127W	20.98	10.813	14.021
YDL128W	77.343	122.152	116.052
YDL130W	4799.228	1996.529	2045.888
YDL130W-A	152.605	1224.137	797.435
YDL131W	253.62	242.805	334.855
YDL132W	39.096	37.984	47.606
YDL133C-A	1643.456	1570.299	874.811
YDL133W	13.817	11.345	12.657
YDL134C	67.312	92.01	109.33
YDL135C	121.127	128.73	124.284
YDL136W	1090.001	367.209	429.439
YDL137W	515.679	369.777	355.306
YDL138W	3.659	4.453	7.985
YDL139C	11.778	10.351	18.478
YDL140C	103.81	67.068	69.078
YDL141W	28.621	27.403	26.557
YDL142C	16.414	17.121	21.064
YDL143W	181.433	88.469	67.862
YDL144C	37.853	23.255	27.328
YDL145C	136.175	63.73	67.211
YDL146W	6.967	8.669	9.431
YDL147W	150.578	157.128	150.438
YDL148C	38.677	14.237	13.431
YDL149W	7.358	21.821	22.34
YDL150W	27.277	16.343	17.7
YDL153C	38.605	19.901	26.302
YDL155W	24.594	19.226	15.557
YDL157C	126.715	97.93	66.488
YDL159W	11.427	22.279	17.752
YDL160C	258.058	168.83	149.567
YDL161W	38.309	31.128	29.381
YDL164C	22.161	9.043	14.628
YDL165W	61.043	53.372	54.353
YDL166C	78.262	41.284	35.751
YDL167C	21.06	6.383	5.086
YDL168W	123.632	162.158	172.106
YDL169C	5.234	52.481	38.317
YDL170W	10.759	23.866	26.59
YDL171C	75.279	19.377	20.665
YDL173W	78.924	107.76	119.451
YDL174C	45.034	77.295	65.05
YDL175C	19.666	26.637	29.164
YDL176W	4.706	12.586	11.594
YDL178W	38.833	41.162	34.471
YDL179W	28.193	12.181	12.406
YDL180W	10.435	12.899	17.909
YDL181W	239.743	1512.412	1345.433
YDL182W	139.712	389.173	451.698
YDL183C	7.474	12.242	14.929
YDL184C	1643.456	1570.299	874.811
YDL185W	778.328	282.484	262.156
YDL188C	62.92	55.408	56.295
YDL189W	26.415	19.096	13.636
YDL190C	41.609	42.297	36.407
YDL191W	2014.431	1444.879	1875.524
YDL192W	994.906	514.159	454.595
YDL193W	41.971	53.656	48.318
YDL195W	138.518	70.466	80.631
YDL198C	84.967	64.495	49.491
YDL199C	3.93	33.243	29.346
YDL200C	18.178	49.471	33.877
YDL201W	58.189	19.162	27.593
YDL202W	44.117	28.652	19.664
YDL203C	14.201	18.032	15.474
YDL204W	11.467	271.203	234.938
YDL205C	52.528	19.54	22.76
YDL207W	13.462	11.581	16.206
YDL208W	355.494	165.026	115.318
YDL209C	8.237	13.765	12.264
YDL212W	182.307	88.175	102.562
YDL213C	63.234	35.956	27.242
YDL215C	16.432	122.091	155.559
YDL216C	6.559	12.104	9.439
YDL217C	44.033	65.378	50.161
YDL219W	72.269	23.827	39.376
YDL223C	8.036	194.404	221.043
YDL224C	27.24	49.984	49.624
YDL225W	43.044	32.463	29.159
YDL226C	132.066	39.791	51.055
YDL229W	1575.16	482.181	458.637
YDL230W	18.242	18.231	23.91
YDL232W	200.013	189.334	249.984
YDL233W	13.602	19.161	23.561
YDL234C	14.594	51.837	44.736
YDL235C	82.103	59.129	57.804
YDL236W	132.308	58.546	63.515
YDL237W	55.319	46.611	58.255
YDL238C	6.29	9.923	7.549
YDL240W	7.497	4.329	3.211
YDL248W	14.851	32.128	42.611
YDR001C	58.559	166.259	188.643
YDR002W	658.622	394.118	365.862
YDR003W	41.391	58.088	49.139
YDR004W	5.734	7.151	6.583
YDR005C	25.57	46.41	39.595
YDR006C	18.107	35.902	41.58
YDR007W	46.313	26.765	22.353
YDR011W	36.224	28.024	38.219
YDR012W	1251.42	727.143	924.963
YDR013W	17.098	21.383	18.277
YDR014W	6.241	7.069	6.962
YDR016C	48.485	22.685	23.393
YDR017C	18.373	21.391	18.721
YDR019C	122.928	141.949	173.408
YDR021W	7.719	10.424	9.264
YDR022C	13.366	44.845	34.887
YDR023W	629.955	241.928	213.493
YDR025W	2245.967	959.454	1150.247
YDR026C	7.241	7.909	7.196
YDR027C	12.997	13.937	12.018
YDR028C	30.884	48.258	45.973
YDR030C	3.607	20.083	13.16
YDR031W	56.71	67.014	88.184
YDR032C	628.676	593.623	575.218
YDR033W	1022.459	560.921	522.282
YDR034C	15.15	21.639	26.242
YDR034W-B	12.833	238.191	264.774
YDR035W	159.242	247.787	259.095
YDR036C	43.39	41.939	40.465
YDR037W	591.13	209.75	189.937
YDR041W	47.352	54.337	49.405
YDR043C	19.392	176.39	184.238
YDR044W	68.0	23.956	24.193
YDR045C	63.739	28.949	32.484
YDR046C	80.888	60.568	36.69
YDR047W	47.848	20.32	22.789
YDR049W	19.401	9.71	11.171
YDR050C	7226.33	3903.508	3797.458
YDR051C	34.58	31.165	33.931
YDR052C	19.267	17.639	15.978
YDR054C	74.465	128.363	92.484
YDR055W	231.101	1348.209	993.616
YDR056C	92.376	81.774	71.805
YDR057W	12.013	21.744	19.331
YDR058C	8.2	26.224	16.293
YDR059C	31.968	284.673	336.983
YDR060W	46.135	17.724	13.333
YDR061W	24.307	19.787	18.754
YDR062W	90.443	131.994	147.946
YDR063W	112.577	27.732	45.809
YDR064W	5222.242	1991.205	2207.337
YDR067C	18.254	31.663	36.654
YDR068W	34.441	35.4	49.701
YDR069C	11.46	22.744	20.139
YDR071C	245.534	131.943	144.392
YDR072C	37.121	30.399	45.095
YDR073W	27.313	39.04	55.899
YDR074W	89.642	130.822	136.337
YDR076W	3.879	3.062	5.115
YDR077W	2804.062	5970.053	5815.309
YDR079C-A	30.375	73.705	45.558
