Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	EMBL	RefSeq
A3QM97	reviewed	CNNM1_CAEEL	Metal transporter cnnm-1 (CNNM family homolog 1)	cnnm-1 C52D10.12	Caenorhabditis elegans	811	BX284604;	NP_503052.1;
A5JYR4	unreviewed	A5JYR4_CAEEL	PID domain-containing protein	dab-1 CELE_M110.5 M110.5	Caenorhabditis elegans	492	BX284602;	NP_001122626.2;
A5JYS0	reviewed	PCS1_CAEEL	Glutathione gamma-glutamylcysteinyltransferase (EC 2.3.2.15) (Phytochelatin synthase) (PC synthase)	pcs-1 F54D5.1	Caenorhabditis elegans	426	AF299332;AF299333;BX284602;BX284602;	NP_001122615.1 [A5JYS0-1];NP_001122616.1 [A5JYS0-2];
A5JYW9	reviewed	SIN3_CAEEL	Paired amphipathic helix protein sin-3 (Histone deacetylase complex subunit sin-3) (Transcriptional corepressor sin-3)	sin-3 pqn-28 F02E9.4	Caenorhabditis elegans	1507	BX284601;BX284601;	NP_001122442.1 [A5JYW9-1];NP_492284.2 [A5JYW9-2];
A5JYX5	reviewed	DHS3_CAEEL	Protein dhs-3 (Alcohol dehydrogenase dhs-3) (EC 1.1.1.1)	dhs-3 T02E1.5	Caenorhabditis elegans	309	BX284601;BX284601;BX284601;	NP_001122508.1 [A5JYX5-2];NP_001122509.1 [A5JYX5-1];NP_001122510.1 [A5JYX5-3];
A5JYX8	reviewed	NCLN_CAEEL	Nicalin (Inactive aminopeptidase nra-2) (Nicotinic receptor-associated protein 2)	nra-2 T05F1.1	Caenorhabditis elegans	563	BX284601;BX284601;	NP_001122514.1 [A5JYX8-1];NP_492553.1 [A5JYX8-2];
A5PEX5	unreviewed	A5PEX5_CAEEL	Protein lin-7 homolog	lin-7 CELE_Y54G11A.10 Y54G11A.10	Caenorhabditis elegans	209	BX284602;	NP_001122664.2;
A7DTF0	reviewed	MRG1_CAEEL	Mortality factor related protein 1	mrg-1 Y37D8A.9	Caenorhabditis elegans	337	BX284603;BX284603;	NP_001122727.1 [A7DTF0-1];NP_499675.1 [A7DTF0-2];
A8WFJ9	reviewed	ETS4_CAEEL	Transcription factor ets-4	ets-4 F22A3.1	Caenorhabditis elegans	437	BX284606;BX284606;	NP_001123137.1;NP_509099.2 [A8WFJ9-2];
A8WI68	unreviewed	A8WI68_CAEEL	Calcium-transporting ATPase (EC 7.2.2.10)	sca-1 CELE_K11D9.2 K11D9.2	Caenorhabditis elegans	932	BX284603;	NP_001122708.1;
B1Q236	reviewed	SYG1_CAEEL	Synaptogenesis protein syg-1 (Synaptogenesis abnormal protein 1)	syg-1 K02E10.8	Caenorhabditis elegans	730	BX284606;BX284606;	NP_001123159.1 [B1Q236-1];NP_508457.3 [B1Q236-2];
B1Q257	reviewed	GCY10_CAEEL	Receptor-type guanylate cyclase gcy-10 (EC 4.6.1.2) (Odorant response abnormal protein 1)	odr-1 gcy-10 R01E6.1	Caenorhabditis elegans	1067	AF235027;BX284606;BX284606;	NP_001123168.2;NP_510266.3;
B1V8A0	reviewed	SH3GH_CAEEL	Endophilin-A homolog (Endophilin-1 homolog) (Uncoordinated protein 57)	unc-57 T04D1.3	Caenorhabditis elegans	381	AY394006;BX284601;BX284601;BX284601;BX284601;	NP_001040680.1 [B1V8A0-2];NP_001040681.1 [B1V8A0-3];NP_001122512.1 [B1V8A0-4];NP_001122513.1 [B1V8A0-1];
B2D6K9	reviewed	PPH6R_CAEEL	Serine/threonine-protein phosphatase 6 regulatory subunit	saps-1 C47G2.5	Caenorhabditis elegans	778	BX284602;BX284602;BX284602;	NP_001122596.1 [B2D6K9-3];NP_001122597.1 [B2D6K9-1];NP_496414.2 [B2D6K9-2];
B2D6M2	reviewed	LIN61_CAEEL	Protein lin-61 (Abnormal cell lineage protein 61)	lin-61 R06C7.7	Caenorhabditis elegans	612	Z71266;Z71266;	NP_001122501.1 [B2D6M2-1];NP_492050.3 [B2D6M2-2];
B2D6P4	reviewed	TBPL1_CAEEL	TATA box-binding protein-like 1 (TBP-like) (TBP-like factor) (CeTLF)	tlf-1 F39H11.2	Caenorhabditis elegans	508	AF228692;BX284601;BX284601;AJ238443;	NP_001122474.1 [B2D6P4-1];NP_492356.1 [B2D6P4-2];
B2FDA8	reviewed	SMC3_CAEEL	Structural maintenance of chromosomes protein 3	smc-3 Y47D3A.26	Caenorhabditis elegans	1261	BX284603;BX284603;BX284603;	NP_001129842.1;NP_001255118.1 [B2FDA8-2];NP_001255119.1 [B2FDA8-3];
B3WFY8	reviewed	DYF5_CAEEL	Serine/threonine-protein kinase dyf-5 (EC 2.7.11.1)	dyf-5 M04C9.5	Caenorhabditis elegans	489	AM498742;BX284601;BX284601;	NP_001129786.2 [B3WFY8-1];NP_492493.2 [B3WFY8-2];
B6VQ60	reviewed	BRCA1_CAEEL	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	brc-1 C36A4.8	Caenorhabditis elegans	612	BX284603;BX284603;	NP_001254881.1;NP_001254882.1 [B6VQ60-2];
B7CED8	unreviewed	B7CED8_CAEEL	Calcium-transporting ATPase (EC 7.2.2.10)	mca-3 CELE_Y67D8C.10 Y67D8C.10	Caenorhabditis elegans	1170	BX284604;	NP_001255244.1;
B7FAS6	reviewed	SAM10_CAEEL	Single-stranded DNA-binding protein homolog sam-10 (Synaptic vesicle tag abnormal in mechanosensory neurons)	sam-10 Y48C3A.8	Caenorhabditis elegans	455	AL117203;AL117203;	NP_001254379.1 [B7FAS6-1];NP_001254380.1 [B7FAS6-2];
B7WN72	reviewed	SHANK_CAEEL	Protein shank	shn-1 C33B4.3	Caenorhabditis elegans	1140	BX284602;BX284602;BX284602;	NP_001022006.1 [B7WN72-2];NP_001022007.1 [B7WN72-3];NP_001254297.1;
B7WN96	reviewed	ELT3_CAEEL	Transcription factor elt-3	elt-3 K02B9.4	Caenorhabditis elegans	317	AF146517;BX284606;BX284606;BX284606;BX284606;	NP_001257234.1;NP_001257235.1;NP_001257236.1 [B7WN96-3];NP_001257237.1 [B7WN96-4];
C1P636	unreviewed	C1P636_CAEEL	E1 ubiquitin-activating enzyme (EC 6.2.1.45)	uba-1 C47E12.5 CELE_C47E12.5	Caenorhabditis elegans	1112	BX284604;	NP_001255449.1;
C4ALD5	unreviewed	C4ALD5_CAEEL	CRAL-TRIO domain-containing protein	unc-73 CELE_F55C7.7 F55C7.7	Caenorhabditis elegans	2140	BX284601;	NP_001249517.1;
C6KRL6	reviewed	ZHP3_CAEEL	Zip homologous protein 3 (Zip3-homologous protein)	zhp-3 K02B12.8	Caenorhabditis elegans	389	BX284601;BX284601;	NP_001250801.1 [C6KRL6-2];NP_001250802.1 [C6KRL6-1];
C6KRN1	reviewed	SAO1_CAEEL	Suppressor of aph-1	sao-1 R10D12.14	Caenorhabditis elegans	245	Z81109;Z81109;Z81109;Z81109;	NP_001041150.1;NP_001041151.1 [C6KRN1-3];NP_001256550.1 [C6KRN1-1];NP_001256551.1 [C6KRN1-4];
C7IVR4	reviewed	PQN41_CAEEL	Polyglutamine-repeat protein pqn-41 (Prion-like-(Q/N-rich)-domain-bearing protein 41)	pqn-41 F53A3.4	Caenorhabditis elegans	2049	BX284603;BX284603;BX284603;BX284603;	NP_001122699.2 [C7IVR4-1];NP_001254849.1 [C7IVR4-3];NP_001293605.1;NP_497478.2 [C7IVR4-2];
C8JQR2	unreviewed	C8JQR2_CAEEL	Adapter protein unc-53	unc-53 CELE_F45E10.1 F45E10.1	Caenorhabditis elegans	1346	BX284602;	NP_001254273.1;
D0PV95	reviewed	DDX3_CAEEL	ATP-dependent RNA helicase laf-1 (EC 3.6.4.13) (DEAD-box RNA helicase laf-1)	laf-1 Y71H2AM.19	Caenorhabditis elegans	708	FJ348231;BX284603;BX284603;	NP_001254858.1;NP_001254859.1 [D0PV95-1];
D0VWM8	reviewed	TADBP_CAEEL	Tar DNA-binding protein homolog 1	tdp-1 F44G4.4	Caenorhabditis elegans	414	BX284602;BX284602;BX284602;	NP_001022166.1 [D0VWM8-2];NP_001022167.1;NP_001254189.1 [D0VWM8-1];
D0Z5N4	reviewed	E2AKB_CAEEL	Eukaryotic translation initiation factor 2-alpha kinase gcn-2 (EC 2.7.11.1) (General control nonderepressible kinase 2)	gcn-2 Y81G3A.3	Caenorhabditis elegans	1699	BX284602;BX284602;	NP_001254370.2;NP_001254371.2;
D3KZG3	reviewed	TMC1_CAEEL	Transmembrane channel-like protein 1	tmc-1 T13G4.3	Caenorhabditis elegans	1285	FO080889;FO080360;	NP_508221.3;
D9PTN5	reviewed	MYRF2_CAEEL	Myelin regulatory factor homolog 2 (EC 3.4.-.-) [Cleaved into: Myelin regulatory factor homolog 2, N-terminal; Myelin regulatory factor homolog 2, C-terminal]	myrf-2 F21A10.2	Caenorhabditis elegans	1009	BX284606;BX284606;BX284606;BX284606;BX284606;	NP_001257095.1 [D9PTN5-1];NP_001257096.1;NP_509709.2 [D9PTN5-4];NP_741883.1;NP_741884.1;
E0AHA7	unreviewed	E0AHA7_CAEEL	Spectrin beta chain	unc-70 CELE_K11C4.3 K11C4.3	Caenorhabditis elegans	2326	BX284605;	NP_001256073.1;
E2JKY8	unreviewed	E2JKY8_CAEEL	Dynein associated protein domain-containing protein	dnc-1 CELE_ZK593.5 ZK593.5	Caenorhabditis elegans	1088	BX284604;	NP_001255522.1;
E2JKZ0	unreviewed	E2JKZ0_CAEEL	Dynactin subunit 1	dnc-1 CELE_ZK593.5 ZK593.5	Caenorhabditis elegans	1351	BX284604;	NP_001255521.1;
E7EAU8	reviewed	GCY9_CAEEL	Receptor-type guanylate cyclase gcy-9 (EC 4.6.1.2)	gcy-9 ZK455.2	Caenorhabditis elegans	1081	HQ636455;BX284606;	NP_509897.3;
E7EM37	reviewed	DOPR2_CAEEL	Dopamine receptor 2 (Dopamine D2-like receptor dop-2)	dop-2 dop-2L K09G1.4	Caenorhabditis elegans	849	AB125701;AB125702;BX284605;BX284605;BX284605;BX284605;BX284605;BX284605;	NP_001024047.1 [E7EM37-2];NP_001024048.1;NP_001256126.1 [E7EM37-1];NP_001256127.1 [E7EM37-3];
E9P860	reviewed	ZNFX1_CAEEL	NFX1-type zinc finger-containing protein 1 homolog (EC 3.6.4.13)	znfx-1 ZK1067.2	Caenorhabditis elegans	2443	BX284602;BX284602;	NP_001254204.1;NP_001254205.1;
F3Y5P4	reviewed	GRDN_CAEEL	Girdin homolog (Coiled-coil domain-containing protein grdn-1)	grdn-1 Y51A2D.15	Caenorhabditis elegans	1319	BX284605;BX284605;BX284605;	NP_001256816.1 [F3Y5P4-1];NP_001256817.1;NP_001256818.1 [F3Y5P4-3];
F5GUE5	reviewed	DAF14_CAEEL	Smad-related protein daf-14 (Abnormal dauer formation protein 14)	daf-14 F01G10.8	Caenorhabditis elegans	331	AF190910;BX284604;BX284604;	NP_001255475.1 [F5GUE5-1];NP_001255476.1 [F5GUE5-2];
G1FC92	reviewed	MIG21_CAEEL	Abnormal cell migration protein 21	mig-21 F01F1.13	Caenorhabditis elegans	306	JN165085;BX284603;BX284603;	NP_001254932.1;NP_001254933.2 [G1FC92-2];
G4SLH0	reviewed	TTN1_CAEEL	Titin homolog (EC 2.7.11.1)	ttn-1 W06H8.8	Caenorhabditis elegans	18562	AY130758;AY130758;AY130758;AY130758;AY130758;BX284605;BX284605;BX284605;BX284605;BX284605;BX284605;BX284605;	NP_001024198.1;NP_001024199.1;NP_001024200.1 [G4SLH0-5];NP_001024201.1;NP_001024202.1;NP_001024203.1;NP_001024204.1;
G5EBF1	reviewed	SAX3_CAEEL	Protein sax-3 (Sensory axon guidance 3)	sax-3 ZK377.2	Caenorhabditis elegans	1273	AF041053;BX284606;BX284606;	NP_001024990.1 [G5EBF1-1];NP_741748.2 [G5EBF1-2];
G5EBH0	reviewed	PLCB_CAEEL	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta egl-8 (EC 3.1.4.11) (Egg-laying defective protein 8) (Phosphoinositide phospholipase C-beta egl-8) (Phospholipase C-beta egl-8) (PLC-beta egl-8)	egl-8 B0348.4	Caenorhabditis elegans	1431	AF179426;AF188477;FO080176;FO080176;FO080176;	NP_001021346.1 [G5EBH0-2];NP_001021347.1 [G5EBH0-1];NP_001021348.1 [G5EBH0-3];
G5EBH1	reviewed	TAT5_CAEEL	Probable phospholipid-transporting ATPase tat-5 (EC 7.6.2.1)	tat-5 F36H2.1	Caenorhabditis elegans	1074	BX284601;BX284601;BX284601;	NP_001021457.1 [G5EBH1-1];NP_001021458.1 [G5EBH1-2];NP_001040665.1 [G5EBH1-3];
G5EBH3	unreviewed	G5EBH3_CAEEL	Spectrin beta chain	sma-1 CELE_R31.1 R31.1	Caenorhabditis elegans	3953	BX284605;	NP_001256383.1;
G5EBI4	reviewed	CEEH1_CAEEL	Epoxide hydrolase 1 (EC 3.3.2.10) (CEEH1)	ceeh-1 K02F3.6	Caenorhabditis elegans	404	EU151493;FO080195;	NP_497268.1;
G5EBJ9	unreviewed	G5EBJ9_CAEEL	Flavin-containing monooxygenase (EC 1.-.-.-)	fmo-2 CELE_K08C7.5 K08C7.5	Caenorhabditis elegans	529	BX284604;AJ582071;	NP_501972.1;
G5EBK1	reviewed	PBO4_CAEEL	Na(+)/H(+) exchanger protein 7 (Na(+)/H(+) antiporter nhx-7) (PBoc defective protein pbo-4)	pbo-4 nhx-7 K09C8.1	Caenorhabditis elegans	783	AF497831;Z68006;	NP_509830.2;
G5EBK3	unreviewed	G5EBK3_CAEEL	Moesin/ezrin/radixin homolog 1	erm-1 C01G8.5 CELE_C01G8.5	Caenorhabditis elegans	564	AB107269;AB107270;BX284601;	NP_491560.1;
G5EBL2	reviewed	MES1_CAEEL	Protein mes-1 (Maternal-effect sterile protein 1)	mes-1 F54F7.5	Caenorhabditis elegans	966	AF200199;BX284606;	NP_741906.1;
G5EBL3	reviewed	SDC2_CAEEL	Sex determination and dosage compensation protein sdc-2	sdc-2 C35C5.1	Caenorhabditis elegans	2962	AF111934;BX284606;	NP_509924.1;
G5EBM0	unreviewed	G5EBM0_CAEEL	EFF-1B (Protein kinase domain-containing protein)	eff-1 C26D10.5 CELE_C26D10.5	Caenorhabditis elegans	596	AF480493;BX284602;	NP_001021988.1;
G5EBM1	reviewed	CSP1_CAEEL	Caspase A (EC 3.4.22.36) [Cleaved into: Caspase A subunit p16; Caspase A subunit p14]	csp-1 Y48E1B.13	Caenorhabditis elegans	536	AF088285;AF088286;AF088287;BX284602;BX284602;BX284602;	NP_001022452.1 [G5EBM1-1];NP_001022453.1 [G5EBM1-2];NP_001022454.1 [G5EBM1-3];
G5EBN9	reviewed	SNF3_CAEEL	Sodium- and chloride-dependent betaine transporter (Betaine transporter SNF-3) (Na(+)/Cl(-) betaine/GABA transporter) (Sodium:neurotransmitter symporter family protein 3)	snf-3 bgt-1 T13B5.1	Caenorhabditis elegans	600	DQ482733;DQ118731;FO080410;	NP_493910.2;
G5EBQ3	unreviewed	G5EBQ3_CAEEL	RNA-directed RNA polymerase (EC 2.7.7.48)	ego-1 CELE_F26A3.3 F26A3.3	Caenorhabditis elegans	1632	AF159143;BX284601;	NP_492132.1;
G5EBQ8	reviewed	CHS2_CAEEL	Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2)	chs-2 F48A11.1	Caenorhabditis elegans	1668	AY874872;BX284602;BX284602;	NP_001300544.1 [G5EBQ8-2];NP_493682.2 [G5EBQ8-1];
G5EBR3	reviewed	GLUCL_CAEEL	Glutamate-gated chloride channel alpha (Avermectin-sensitive glutamate-gated chloride channel GluCl alpha) (GluCl alpha)	glc-1 F11A5.10	Caenorhabditis elegans	461	U14524;Z92830;	NP_507090.1;
G5EBT1	reviewed	SMA5_CAEEL	Mitogen-activated protein kinase sma-5 (EC 2.7.11.24)	sma-5 W06B3.2	Caenorhabditis elegans	509	BX284606;BX284606;BX284606;BX284606;	NP_001033572.1;NP_001041297.1 [G5EBT1-1];NP_741908.1 [G5EBT1-3];NP_741909.1;
G5EBU3	reviewed	MMPC_CAEEL	Matrix metalloproteinase-C (MMP-C) (MMP-C31) (EC 3.4.24.-) (Zinc metalloprotease 3)	zmp-3 C31B8.8	Caenorhabditis elegans	579	AB007815;BX284605;	NP_503790.1;
G5EBU4	reviewed	ZAG1_CAEEL	Zinc finger E-box-binding homeobox protein zag-1 (Zinc finger involved in axon guidance 1) (ZAG-1)	zag-1 F28F9.1	Caenorhabditis elegans	596	AY289599;AY224511;FO081249;	NP_500424.3;
G5EBV0	reviewed	EGL9_CAEEL	Hypoxia-inducible factor prolyl hydroxylase (HIF-PH) (EC 1.14.11.29) (Egg-laying defective protein 9) (Hypoxia-inducible factor-proline dioxygenase)	egl-9 F22E12.4	Caenorhabditis elegans	723	AF178536;BX284605;BX284605;BX284605;BX284605;BX284605;	NP_001023832.1;NP_001023833.1 [G5EBV0-3];NP_001023834.1 [G5EBV0-4];NP_001041105.1 [G5EBV0-5];NP_741621.1 [G5EBV0-1];
G5EBV3	unreviewed	G5EBV3_CAEEL	Rac-like GTPase (Ras-related C3 botulinum toxin substrate 1)	mig-2 MIG-2 C35C5.4 CELE_C35C5.4	Caenorhabditis elegans	195	U82288;BX284606;	NP_509931.1;
G5EBV6	reviewed	PGL3_CAEEL	Guanyl-specific ribonuclease pgl-3 (EC 4.6.1.24) (P granule abnormality protein 3)	pgl-3 C18G1.4	Caenorhabditis elegans	693	AB120729;BX284605;BX284605;	NP_504278.1 [G5EBV6-1];NP_504279.1 [G5EBV6-2];
G5EBV8	unreviewed	G5EBV8_CAEEL	Ion transport domain-containing protein (Olfactory channel)	osm-9 B0212.5 CELE_B0212.5	Caenorhabditis elegans	937	AF031408;BX284604;	NP_500372.1;
G5EBX1	unreviewed	G5EBX1_CAEEL	Calponin-homology (CH) domain-containing protein	unc-53 CELE_F45E10.1 F45E10.1	Caenorhabditis elegans	1613	BX284602;	NP_001254272.1;
G5EBX6	reviewed	EXOSX_CAEEL	Exosome complex component 10 homolog (EXOS-10) (EC 3.1.13.-) (Cell death-related nuclease 3)	crn-3 C14A4.4	Caenorhabditis elegans	876	AY303577;BX284602;BX284602;	NP_001309468.1;NP_496283.1;
G5EBX9	reviewed	PPE_CAEEL	Serine/threonine-protein phosphatase with EF-hands pef-1 (CePPEF) (EC 3.1.3.16) (Phosphatase with EF hands 1)	pef-1 F23H11.8	Caenorhabditis elegans	707	AF023454;BX284603;BX284603;BX284603;	NP_001022545.1;NP_001254836.1 [G5EBX9-3];NP_741091.1 [G5EBX9-1];
G5EBY3	unreviewed	G5EBY3_CAEEL	Myosin-11	nmy-2 CELE_F20G4.3 F20G4.3	Caenorhabditis elegans	2003	BX284601;	NP_492186.3;
G5EBY8	reviewed	UN129_CAEEL	BMP-like protein unc-129 (Uncoordinated protein 129)	unc-129 C53D6.2	Caenorhabditis elegans	407	AF029887;BX284604;	NP_501566.1;
G5EBZ4	reviewed	LE418_CAEEL	Protein let-418 (Lethal protein 418)	let-418 evl-11 F26F12.7	Caenorhabditis elegans	1829	AF308445;BX284605;	NP_504523.1;
G5EBZ8	reviewed	ARK1_CAEEL	Ack-related non-receptor tyrosine kinase (EC 2.7.10.2) (EC 2.7.11.1) (Ras-regulating kinase ark-1)	ark-1 C01C7.1	Caenorhabditis elegans	1043	AJ271057;BX284604;BX284604;	NP_001255653.1 [G5EBZ8-2];NP_001255654.1 [G5EBZ8-1];
G5EC23	reviewed	HCF1_CAEEL	Host cell factor homolog hcf-1 (HCF homolog)	hcf-1 C46A5.9	Caenorhabditis elegans	782	AF072907;BX284604;	NP_501279.1;
G5EC24	reviewed	PTP2_CAEEL	Tyrosine-protein phosphatase non-receptor type ptp-2 (EC 3.1.3.48) (Protein-tyrosine phosphatase 2)	ptp-2 F59G1.5	Caenorhabditis elegans	668	AF015882;BX284602;	NP_001293512.1;
G5EC26	unreviewed	G5EC26_CAEEL	Calcium-transporting ATPase (EC 7.2.2.10)	pmr-1 CELE_ZK256.1 ZK256.1	Caenorhabditis elegans	705	BX284601;	NP_001021861.1;
G5EC32	reviewed	SRBS1_CAEEL	Sorbin and SH3 domain-containing protein 1 homolog	sorb-1 Y45F10D.13	Caenorhabditis elegans	1005	BX284604;BX284604;	NP_001041035.2 [G5EC32-1];NP_001255756.1 [G5EC32-2];
G5EC35	unreviewed	G5EC35_CAEEL	Beta chain spectrin homolog Sma1 (Spectrin beta chain)	sma-1 sma1 CELE_R31.1 R31.1	Caenorhabditis elegans	4063	AF053496;BX284605;	NP_001129903.1;
G5EC36	reviewed	LIM7_CAEEL	LIM/homeobox protein lim-7	lim-7 C04F1.3	Caenorhabditis elegans	452	U73946;BX284601;	NP_491668.1;
G5EC37	reviewed	SEPA1_CAEEL	Protein sepa-1 (Suppressor of ectopic P granules in autophagy)	sepa-1 M01E5.6	Caenorhabditis elegans	702	BX284601;	NP_493339.1;
G5EC43	unreviewed	G5EC43_CAEEL	Kinesin-like protein	zen-4 CELE_M03D4.1 M03D4.1	Caenorhabditis elegans	772	AF057568;BX284604;	NP_001023310.1;
G5EC44	reviewed	MRT2_CAEEL	Cell cycle checkpoint protein RAD1 homolog mrt-2 (EC 3.1.11.2)	mrt-2 hpr-1 Y41C4A.14	Caenorhabditis elegans	267	AF076843;BX284603;	NP_499521.1;
G5EC86	reviewed	MOE1_CAEEL	CCCH-type zinc finger protein oma-1 (Maturation oocyte expansion protein 1) (Oocyte maturation defective protein 1)	oma-1 moe-1 C09G9.6	Caenorhabditis elegans	407	BX284604;	NP_501542.1;
G5EC89	reviewed	CEH17_CAEEL	Homeobox protein ceh-17	ceh-17 D1007.1	Caenorhabditis elegans	237	AF272397;BX284601;	NP_491393.1;
G5ECA1	unreviewed	G5ECA1_CAEEL	EFF-1A (Protein kinase domain-containing protein)	eff-1 C26D10.5 CELE_C26D10.5	Caenorhabditis elegans	658	AF480492;BX284602;	NP_001021987.1;
G5ECB2	reviewed	GABR2_CAEEL	Gamma-aminobutyric acid type B receptor subunit 2	gbb-2 ZK180.1	Caenorhabditis elegans	842	EU729335;BX284604;	NP_500579.3;
G5ECC3	unreviewed	G5ECC3_CAEEL	Dynamin-type G domain-containing protein	rme-1 CELE_W06H8.1 W06H8.1	Caenorhabditis elegans	791	BX284605;	
